MonthDay;Hour of day;Consumption;Rate
1/19;13;0.39;Mid-peak
1/19;14;0.43;Mid-peak
1/19;15;0.38;Mid-peak
1/19;16;0.34;Mid-peak
1/19;17;0.48;Mid-peak
1/19;18;0.34;On-peak
1/19;19;0.48;On-peak
1/19;20;0.46;Off-peak
1/19;21;0.45;Off-peak
1/19;22;0.49;Off-peak
1/19;23;0.47;Off-peak
1/20;0;0.31;Off-peak
1/20;1;0.35;Off-peak
1/20;2;0.31;Off-peak
1/20;3;0.3;Off-peak
1/20;4;0.35;Off-peak
1/20;5;0.37;Off-peak
1/20;6;0.31;Off-peak
1/20;7;0.65;Off-peak
1/20;8;2.02;On-peak
1/20;9;0.36;On-peak
1/20;10;0.32;On-peak
1/20;11;0.36;On-peak
1/20;12;0.7;Mid-peak
1/20;13;0.37;Mid-peak
1/20;14;0.4;Mid-peak
1/20;15;0.37;Mid-peak
1/20;16;0.39;Mid-peak
1/20;17;0.34;Mid-peak
1/20;18;0.26;On-peak
1/20;19;0.28;On-peak
1/20;20;0.37;Off-peak
1/20;21;0.31;Off-peak
1/20;22;0.31;Off-peak
1/20;23;0.3;Off-peak
1/21;0;0.4;Off-peak
1/21;1;0.32;Off-peak
1/21;2;0.29;Off-peak
1/21;3;0.28;Off-peak
1/21;4;0.28;Off-peak
1/21;5;0.3;Off-peak
1/21;6;0.27;Off-peak
1/21;7;0.27;Off-peak
1/21;8;0.28;Off-peak
1/21;9;0.34;Off-peak
1/21;10;0.42;Off-peak
1/21;11;0.37;Off-peak
1/21;12;0.32;Off-peak
1/21;13;0.39;Off-peak
1/21;14;0.44;Off-peak
1/21;15;0.48;Off-peak
1/21;16;3.92;Off-peak
1/21;17;0.4;Off-peak
1/21;18;0.43;Off-peak
1/21;19;0.75;Off-peak
1/21;20;0.31;Off-peak
1/21;21;0.33;Off-peak
1/21;22;0.31;Off-peak
1/21;23;0.31;Off-peak
1/22;0;0.62;Off-peak
1/22;1;0.37;Off-peak
1/22;2;0.38;Off-peak
1/22;3;0.3;Off-peak
1/22;4;0.34;Off-peak
1/22;5;0.37;Off-peak
1/22;6;0.42;Off-peak
1/22;7;0.3;Off-peak
1/22;8;0.32;Off-peak
1/22;9;0.31;Off-peak
1/22;10;0.42;Off-peak
1/22;11;0.42;Off-peak
1/22;12;0.33;Off-peak
1/22;13;0.28;Off-peak
1/22;14;0.3;Off-peak
1/22;15;0.27;Off-peak
1/22;16;0.3;Off-peak
1/22;17;0.27;Off-peak
1/22;18;0.29;Off-peak
1/22;19;0.28;Off-peak
1/22;20;0.65;Off-peak
1/22;21;0.71;Off-peak
1/22;22;0.72;Off-peak
1/22;23;4.68;Off-peak
1/23;0;0.4;Off-peak
1/23;1;0.36;Off-peak
1/23;2;0.3;Off-peak
1/23;3;0.27;Off-peak
1/23;4;0.27;Off-peak
1/23;5;0.32;Off-peak
1/23;6;0.27;Off-peak
1/23;7;0.4;Off-peak
1/23;8;0.31;On-peak
1/23;9;0.26;On-peak
1/23;10;0.35;On-peak
1/23;11;0.38;On-peak
1/23;12;0.35;Mid-peak
1/23;13;0.38;Mid-peak
1/23;14;0.27;Mid-peak
1/23;15;0.26;Mid-peak
1/23;16;0.4;Mid-peak
1/23;17;0.33;Mid-peak
1/23;18;0.55;On-peak
1/23;19;0.42;On-peak
1/23;20;0.38;Off-peak
1/23;21;0.76;Off-peak
1/23;22;0.59;Off-peak
1/23;23;0.46;Off-peak
1/24;0;0.42;Off-peak
1/24;1;0.35;Off-peak
1/24;2;0.27;Off-peak
1/24;3;0.3;Off-peak
1/24;4;0.29;Off-peak
1/24;5;0.31;Off-peak
1/24;6;0.31;Off-peak
1/24;7;0.28;Off-peak
1/24;8;0.38;On-peak
1/24;9;0.3;On-peak
1/24;10;0.34;On-peak
1/24;11;0.4;On-peak
1/24;12;1.88;Mid-peak
1/24;13;0.4;Mid-peak
1/24;14;0.27;Mid-peak
1/24;15;0.28;Mid-peak
1/24;16;0.28;Mid-peak
1/24;17;0.25;Mid-peak
1/24;18;0.79;On-peak
1/24;19;0.45;On-peak
1/24;20;0.5;Off-peak
1/24;21;0.53;Off-peak
1/24;22;0.42;Off-peak
1/24;23;0.44;Off-peak
1/25;0;0.48;Off-peak
1/25;1;0.34;Off-peak
1/25;2;0.31;Off-peak
1/25;3;0.28;Off-peak
1/25;4;0.31;Off-peak
1/25;5;0.4;Off-peak
1/25;6;0.28;Off-peak
1/25;7;0.4;Off-peak
1/25;8;0.32;On-peak
1/25;9;0.31;On-peak
1/25;10;0.37;On-peak
1/25;11;1.19;On-peak
1/25;12;0.39;Mid-peak
1/25;13;0.3;Mid-peak
1/25;14;0.27;Mid-peak
1/25;15;0.28;Mid-peak
1/25;16;0.26;Mid-peak
1/25;17;0.39;Mid-peak
1/25;18;0.42;On-peak
1/25;19;0.3;On-peak
1/25;20;0.34;Off-peak
1/25;21;0.66;Off-peak
1/25;22;0.43;Off-peak
1/25;23;0.45;Off-peak
1/26;0;0.39;Off-peak
1/26;1;0.29;Off-peak
1/26;2;0.27;Off-peak
1/26;3;0.26;Off-peak
1/26;4;0.3;Off-peak
1/26;5;0.27;Off-peak
1/26;6;0.28;Off-peak
1/26;7;0.3;Off-peak
1/26;8;0.35;On-peak
1/26;9;0.33;On-peak
1/26;10;0.35;On-peak
1/26;11;0.36;On-peak
1/26;12;0.39;Mid-peak
1/26;13;0.34;Mid-peak
1/26;14;0.29;Mid-peak
1/26;15;0.28;Mid-peak
1/26;16;0.43;Mid-peak
1/26;17;0.48;Mid-peak
1/26;18;0.41;On-peak
1/26;19;0.69;On-peak
1/26;20;0.38;Off-peak
1/26;21;0.36;Off-peak
1/26;22;0.38;Off-peak
1/26;23;0.45;Off-peak
1/27;0;0.35;Off-peak
1/27;1;0.32;Off-peak
1/27;2;0.3;Off-peak
1/27;3;0.29;Off-peak
1/27;4;0.33;Off-peak
1/27;5;0.31;Off-peak
1/27;6;0.31;Off-peak
1/27;7;0.28;Off-peak
1/27;8;0.42;On-peak
1/27;9;0.25;On-peak
1/27;10;0.39;On-peak
1/27;11;0.34;On-peak
1/27;12;0.55;Mid-peak
1/27;13;0.31;Mid-peak
1/27;14;0.37;Mid-peak
1/27;15;0.34;Mid-peak
1/27;16;0.39;Mid-peak
1/27;17;0.29;Mid-peak
1/27;18;0.28;On-peak
1/27;19;0.25;On-peak
1/27;20;0.36;Off-peak
1/27;21;0.34;Off-peak
1/27;22;0.33;Off-peak
1/27;23;0.34;Off-peak
1/28;0;0.3;Off-peak
1/28;1;0.38;Off-peak
1/28;2;0.34;Off-peak
1/28;3;0.34;Off-peak
1/28;4;0.28;Off-peak
1/28;5;0.31;Off-peak
1/28;6;0.34;Off-peak
1/28;7;0.33;Off-peak
1/28;8;0.32;Off-peak
1/28;9;0.51;Off-peak
1/28;10;0.38;Off-peak
1/28;11;0.34;Off-peak
1/28;12;0.31;Off-peak
1/28;13;0.34;Off-peak
1/28;14;0.5;Off-peak
1/28;15;1.52;Off-peak
1/28;16;3.88;Off-peak
1/28;17;0.84;Off-peak
1/28;18;0.43;Off-peak
1/28;19;0.36;Off-peak
1/28;20;0.37;Off-peak
1/28;21;0.29;Off-peak
1/28;22;0.3;Off-peak
1/28;23;0.28;Off-peak
1/29;0;0.52;Off-peak
1/29;1;0.28;Off-peak
1/29;2;0.3;Off-peak
1/29;3;0.28;Off-peak
1/29;4;0.28;Off-peak
1/29;5;0.31;Off-peak
1/29;6;0.27;Off-peak
1/29;7;0.29;Off-peak
1/29;8;0.26;Off-peak
1/29;9;0.28;Off-peak
1/29;10;0.3;Off-peak
1/29;11;0.52;Off-peak
1/29;12;0.42;Off-peak
1/29;13;0.6;Off-peak
1/29;14;0.36;Off-peak
1/29;15;0.36;Off-peak
1/29;16;0.38;Off-peak
1/29;17;0.36;Off-peak
1/29;18;0.35;Off-peak
1/29;19;0.39;Off-peak
1/29;20;0.39;Off-peak
1/29;21;0.37;Off-peak
1/29;22;1.68;Off-peak
1/29;23;2.92;Off-peak
1/30;0;0.45;Off-peak
1/30;1;0.58;Off-peak
1/30;2;0.28;Off-peak
1/30;3;0.27;Off-peak
1/30;4;0.27;Off-peak
1/30;5;0.29;Off-peak
1/30;6;0.27;Off-peak
1/30;7;0.32;Off-peak
1/30;8;0.38;On-peak
1/30;9;0.37;On-peak
1/30;10;0.38;On-peak
1/30;11;0.35;On-peak
1/30;12;0.8;Mid-peak
1/30;13;0.32;Mid-peak
1/30;14;0.28;Mid-peak
1/30;15;0.31;Mid-peak
1/30;16;0.26;Mid-peak
1/30;17;0.27;Mid-peak
1/30;18;0.26;On-peak
1/30;19;0.27;On-peak
1/30;20;0.27;Off-peak
1/30;21;0.53;Off-peak
1/30;22;0.46;Off-peak
1/30;23;0.5;Off-peak
1/31;0;0.42;Off-peak
1/31;1;0.32;Off-peak
1/31;2;0.29;Off-peak
1/31;3;0.24;Off-peak
1/31;4;0.29;Off-peak
1/31;5;0.3;Off-peak
1/31;6;0.25;Off-peak
1/31;7;0.39;Off-peak
1/31;8;0.41;On-peak
1/31;9;0.47;On-peak
1/31;10;0.37;On-peak
1/31;11;0.36;On-peak
1/31;12;0.37;Mid-peak
1/31;13;0.37;Mid-peak
1/31;14;0.31;Mid-peak
1/31;15;0.28;Mid-peak
1/31;16;0.25;Mid-peak
1/31;17;0.25;Mid-peak
1/31;18;0.37;On-peak
1/31;19;0.38;On-peak
1/31;20;0.28;Off-peak
1/31;21;0.42;Off-peak
1/31;22;0.61;Off-peak
1/31;23;0.51;Off-peak
2/1;0;0.49;Off-peak
2/1;1;0.39;Off-peak
2/1;2;0.31;Off-peak
2/1;3;0.28;Off-peak
2/1;4;0.3;Off-peak
2/1;5;0.29;Off-peak
2/1;6;0.27;Off-peak
2/1;7;0.29;Off-peak
2/1;8;0.39;On-peak
2/1;9;0.26;On-peak
2/1;10;0.33;On-peak
2/1;11;0.34;On-peak
2/1;12;0.26;Mid-peak
2/1;13;0.26;Mid-peak
2/1;14;0.27;Mid-peak
2/1;15;0.25;Mid-peak
2/1;16;0.34;Mid-peak
2/1;17;0.35;Mid-peak
2/1;18;0.37;On-peak
2/1;19;0.38;On-peak
2/1;20;0.4;Off-peak
2/1;21;0.41;Off-peak
2/1;22;0.56;Off-peak
2/1;23;0.53;Off-peak
2/2;0;0.52;Off-peak
2/2;1;0.41;Off-peak
2/2;2;0.29;Off-peak
2/2;3;0.26;Off-peak
2/2;4;0.27;Off-peak
2/2;5;0.27;Off-peak
2/2;6;0.28;Off-peak
2/2;7;0.28;Off-peak
2/2;8;0.34;On-peak
2/2;9;0.26;On-peak
2/2;10;0.53;On-peak
2/2;11;0.7;On-peak
2/2;12;1.37;Mid-peak
2/2;13;0.42;Mid-peak
2/2;14;0.31;Mid-peak
2/2;15;0.32;Mid-peak
2/2;16;0.29;Mid-peak
2/2;17;0.4;Mid-peak
2/2;18;0.35;On-peak
2/2;19;0.34;On-peak
2/2;20;0.34;Off-peak
2/2;21;0.32;Off-peak
2/2;22;0.32;Off-peak
2/2;23;0.41;Off-peak
2/3;0;0.42;Off-peak
2/3;1;0.35;Off-peak
2/3;2;0.3;Off-peak
2/3;3;0.28;Off-peak
2/3;4;0.3;Off-peak
2/3;5;0.31;Off-peak
2/3;6;0.29;Off-peak
2/3;7;0.28;Off-peak
2/3;8;0.39;On-peak
2/3;9;0.28;On-peak
2/3;10;0.45;On-peak
2/3;11;0.37;On-peak
2/3;12;0.3;Mid-peak
2/3;13;0.39;Mid-peak
2/3;14;0.24;Mid-peak
2/3;15;0.28;Mid-peak
2/3;16;0.25;Mid-peak
2/3;17;0.3;Mid-peak
2/3;18;0.29;On-peak
2/3;19;0.32;On-peak
2/3;20;0.49;Off-peak
2/3;21;0.29;Off-peak
2/3;22;0.4;Off-peak
2/3;23;0.49;Off-peak
2/4;0;0.51;Off-peak
2/4;1;0.34;Off-peak
2/4;2;0.33;Off-peak
2/4;3;0.35;Off-peak
2/4;4;0.34;Off-peak
2/4;5;0.31;Off-peak
2/4;6;0.32;Off-peak
2/4;7;0.29;Off-peak
2/4;8;0.31;Off-peak
2/4;9;0.29;Off-peak
2/4;10;0.43;Off-peak
2/4;11;0.39;Off-peak
2/4;12;0.42;Off-peak
2/4;13;0.49;Off-peak
2/4;14;0.51;Off-peak
2/4;15;0.53;Off-peak
2/4;16;0.48;Off-peak
2/4;17;0.45;Off-peak
2/4;18;0.46;Off-peak
2/4;19;0.53;Off-peak
2/4;20;0.47;Off-peak
2/4;21;0.47;Off-peak
2/4;22;0.49;Off-peak
2/4;23;0.51;Off-peak
2/5;0;0.34;Off-peak
2/5;1;0.37;Off-peak
2/5;2;0.27;Off-peak
2/5;3;0.29;Off-peak
2/5;4;0.27;Off-peak
2/5;5;0.31;Off-peak
2/5;6;0.27;Off-peak
2/5;7;0.27;Off-peak
2/5;8;0.29;Off-peak
2/5;9;0.27;Off-peak
2/5;10;0.42;Off-peak
2/5;11;0.44;Off-peak
2/5;12;0.5;Off-peak
2/5;13;3.58;Off-peak
2/5;14;3.05;Off-peak
2/5;15;0.37;Off-peak
2/5;16;0.31;Off-peak
2/5;17;0.27;Off-peak
2/5;18;0.52;Off-peak
2/5;19;0.76;Off-peak
2/5;20;0.68;Off-peak
2/5;21;1.06;Off-peak
2/5;22;3.4;Off-peak
2/5;23;0.41;Off-peak
2/6;0;0.3;Off-peak
2/6;1;0.31;Off-peak
2/6;2;0.33;Off-peak
2/6;3;0.29;Off-peak
2/6;4;0.31;Off-peak
2/6;5;0.32;Off-peak
2/6;6;0.31;Off-peak
2/6;7;0.37;Off-peak
2/6;8;0.36;On-peak
2/6;9;0.28;On-peak
2/6;10;0.37;On-peak
2/6;11;0.38;On-peak
2/6;12;0.3;Mid-peak
2/6;13;0.27;Mid-peak
2/6;14;0.33;Mid-peak
2/6;15;0.31;Mid-peak
2/6;16;0.25;Mid-peak
2/6;17;0.27;Mid-peak
2/6;18;0.27;On-peak
2/6;19;0.5;On-peak
2/6;20;0.55;Off-peak
2/6;21;0.46;Off-peak
2/6;22;0.62;Off-peak
2/6;23;0.4;Off-peak
2/7;0;0.45;Off-peak
2/7;1;0.32;Off-peak
2/7;2;0.32;Off-peak
2/7;3;0.29;Off-peak
2/7;4;0.3;Off-peak
2/7;5;0.3;Off-peak
2/7;6;0.31;Off-peak
2/7;7;0.31;Off-peak
2/7;8;0.39;On-peak
2/7;9;0.29;On-peak
2/7;10;0.3;On-peak
2/7;11;0.36;On-peak
2/7;12;1.56;Mid-peak
2/7;13;0.37;Mid-peak
2/7;14;0.28;Mid-peak
2/7;15;0.29;Mid-peak
2/7;16;0.26;Mid-peak
2/7;17;0.29;Mid-peak
2/7;18;0.36;On-peak
2/7;19;0.47;On-peak
2/7;20;0.52;Off-peak
2/7;21;0.52;Off-peak
2/7;22;0.45;Off-peak
2/7;23;0.56;Off-peak
2/8;0;0.47;Off-peak
2/8;1;0.4;Off-peak
2/8;2;0.36;Off-peak
2/8;3;0.32;Off-peak
2/8;4;0.33;Off-peak
2/8;5;0.33;Off-peak
2/8;6;0.33;Off-peak
2/8;7;0.35;Off-peak
2/8;8;0.42;On-peak
2/8;9;0.27;On-peak
2/8;10;0.36;On-peak
2/8;11;0.36;On-peak
2/8;12;0.73;Mid-peak
2/8;13;0.49;Mid-peak
2/8;14;0.27;Mid-peak
2/8;15;0.31;Mid-peak
2/8;16;0.37;Mid-peak
2/8;17;0.38;Mid-peak
2/8;18;0.44;On-peak
2/8;19;0.47;On-peak
2/8;20;0.4;Off-peak
2/8;21;0.47;Off-peak
2/8;22;0.5;Off-peak
2/8;23;0.48;Off-peak
2/9;0;0.44;Off-peak
2/9;1;0.4;Off-peak
2/9;2;0.33;Off-peak
2/9;3;0.3;Off-peak
2/9;4;0.31;Off-peak
2/9;5;0.32;Off-peak
2/9;6;0.31;Off-peak
2/9;7;0.31;Off-peak
2/9;8;0.41;On-peak
2/9;9;0.52;On-peak
2/9;10;0.37;On-peak
2/9;11;0.34;On-peak
2/9;12;0.37;Mid-peak
2/9;13;0.34;Mid-peak
2/9;14;0.33;Mid-peak
2/9;15;0.35;Mid-peak
2/9;16;0.32;Mid-peak
2/9;17;0.38;Mid-peak
2/9;18;0.38;On-peak
2/9;19;0.46;On-peak
2/9;20;0.5;Off-peak
2/9;21;0.5;Off-peak
2/9;22;0.46;Off-peak
2/9;23;0.43;Off-peak
2/10;0;0.36;Off-peak
2/10;1;0.35;Off-peak
2/10;2;0.33;Off-peak
2/10;3;0.3;Off-peak
2/10;4;0.31;Off-peak
2/10;5;0.31;Off-peak
2/10;6;0.29;Off-peak
2/10;7;0.31;Off-peak
2/10;8;0.38;On-peak
2/10;9;0.31;On-peak
2/10;10;0.35;On-peak
2/10;11;0.96;On-peak
2/10;12;1.38;Mid-peak
2/10;13;0.44;Mid-peak
2/10;14;0.35;Mid-peak
2/10;15;0.33;Mid-peak
2/10;16;0.36;Mid-peak
2/10;17;0.39;Mid-peak
2/10;18;0.31;On-peak
2/10;19;0.29;On-peak
2/10;20;0.32;Off-peak
2/10;21;0.3;Off-peak
2/10;22;0.31;Off-peak
2/10;23;0.4;Off-peak
2/11;0;0.41;Off-peak
2/11;1;0.32;Off-peak
2/11;2;0.29;Off-peak
2/11;3;0.29;Off-peak
2/11;4;0.31;Off-peak
2/11;5;0.31;Off-peak
2/11;6;0.36;Off-peak
2/11;7;0.29;Off-peak
2/11;8;0.29;Off-peak
2/11;9;0.28;Off-peak
2/11;10;0.35;Off-peak
2/11;11;0.73;Off-peak
2/11;12;0.37;Off-peak
2/11;13;0.52;Off-peak
2/11;14;0.35;Off-peak
2/11;15;0.33;Off-peak
2/11;16;0.38;Off-peak
2/11;17;0.48;Off-peak
2/11;18;0.37;Off-peak
2/11;19;0.34;Off-peak
2/11;20;0.46;Off-peak
2/11;21;0.45;Off-peak
2/11;22;0.41;Off-peak
2/11;23;0.42;Off-peak
2/12;0;0.33;Off-peak
2/12;1;0.35;Off-peak
2/12;2;0.34;Off-peak
2/12;3;0.32;Off-peak
2/12;4;0.31;Off-peak
2/12;5;0.33;Off-peak
2/12;6;0.31;Off-peak
2/12;7;0.3;Off-peak
2/12;8;0.32;Off-peak
2/12;9;0.35;Off-peak
2/12;10;0.56;Off-peak
2/12;11;0.83;Off-peak
2/12;12;5.34;Off-peak
2/12;13;3.92;Off-peak
2/12;14;1.88;Off-peak
2/12;15;1.14;Off-peak
2/12;16;0.95;Off-peak
2/12;17;0.44;Off-peak
2/12;18;0.33;Off-peak
2/12;19;0.3;Off-peak
2/12;20;0.29;Off-peak
2/12;21;0.3;Off-peak
2/12;22;0.3;Off-peak
2/12;23;0.54;Off-peak
2/13;0;0.49;Off-peak
2/13;1;0.31;Off-peak
2/13;2;0.3;Off-peak
2/13;3;0.3;Off-peak
2/13;4;0.31;Off-peak
2/13;5;0.32;Off-peak
2/13;6;0.3;Off-peak
2/13;7;0.29;Off-peak
2/13;8;0.47;On-peak
2/13;9;1.02;On-peak
2/13;10;1.13;On-peak
2/13;11;0.41;On-peak
2/13;12;0.38;Mid-peak
2/13;13;0.34;Mid-peak
2/13;14;0.32;Mid-peak
2/13;15;0.4;Mid-peak
2/13;16;0.36;Mid-peak
2/13;17;0.35;Mid-peak
2/13;18;0.29;On-peak
2/13;19;0.37;On-peak
2/13;20;0.29;Off-peak
2/13;21;0.54;Off-peak
2/13;22;0.48;Off-peak
2/13;23;0.56;Off-peak
2/14;0;0.48;Off-peak
2/14;1;0.38;Off-peak
2/14;2;0.27;Off-peak
2/14;3;0.29;Off-peak
2/14;4;0.37;Off-peak
2/14;5;0.34;Off-peak
2/14;6;0.31;Off-peak
2/14;7;0.4;Off-peak
2/14;8;0.29;On-peak
2/14;9;0.39;On-peak
2/14;10;0.35;On-peak
2/14;11;0.39;On-peak
2/14;12;0.36;Mid-peak
2/14;13;0.31;Mid-peak
2/14;14;0.35;Mid-peak
2/14;15;0.36;Mid-peak
2/14;16;0.34;Mid-peak
2/14;17;0.39;Mid-peak
2/14;18;0.45;On-peak
2/14;19;0.45;On-peak
2/14;20;0.62;Off-peak
2/14;21;0.5;Off-peak
2/14;22;0.56;Off-peak
2/14;23;0.48;Off-peak
2/15;0;0.57;Off-peak
2/15;1;0.35;Off-peak
2/15;2;0.31;Off-peak
2/15;3;0.29;Off-peak
2/15;4;0.3;Off-peak
2/15;5;0.31;Off-peak
2/15;6;0.29;Off-peak
2/15;7;0.41;Off-peak
2/15;8;0.27;On-peak
2/15;9;0.26;On-peak
2/15;10;0.37;On-peak
2/15;11;0.32;On-peak
2/15;12;0.35;Mid-peak
2/15;13;0.32;Mid-peak
2/15;14;0.25;Mid-peak
2/15;15;0.3;Mid-peak
2/15;16;0.31;Mid-peak
2/15;17;0.46;Mid-peak
2/15;18;0.35;On-peak
2/15;19;0.87;On-peak
2/15;20;0.57;Off-peak
2/15;21;0.55;Off-peak
2/15;22;0.52;Off-peak
2/15;23;0.47;Off-peak
2/16;0;0.63;Off-peak
2/16;1;0.5;Off-peak
2/16;2;0.34;Off-peak
2/16;3;0.3;Off-peak
2/16;4;0.31;Off-peak
2/16;5;0.31;Off-peak
2/16;6;0.29;Off-peak
2/16;7;0.3;Off-peak
2/16;8;0.39;On-peak
2/16;9;0.27;On-peak
2/16;10;0.36;On-peak
2/16;11;0.38;On-peak
2/16;12;0.36;Mid-peak
2/16;13;0.4;Mid-peak
2/16;14;0.35;Mid-peak
2/16;15;0.43;Mid-peak
2/16;16;0.48;Mid-peak
2/16;17;1.2;Mid-peak
2/16;18;1.6;On-peak
2/16;19;0.33;On-peak
2/16;20;0.3;Off-peak
2/16;21;0.36;Off-peak
2/16;22;0.46;Off-peak
2/16;23;0.55;Off-peak
2/17;0;0.26;Off-peak
2/17;1;0.48;Off-peak
2/17;2;0.31;Off-peak
2/17;3;0.28;Off-peak
2/17;4;0.3;Off-peak
2/17;5;0.36;Off-peak
