MonthDay;Hour of day;Consumption;Rate
2/17;6;0.33;Off-peak
2/17;7;0.34;Off-peak
2/17;8;0.28;On-peak
2/17;9;0.34;On-peak
2/17;10;0.39;On-peak
2/17;11;0.52;On-peak
2/17;12;2.21;Mid-peak
2/17;13;0.29;Mid-peak
2/17;14;0.28;Mid-peak
2/17;15;0.27;Mid-peak
2/17;16;0.27;Mid-peak
2/17;17;0.26;Mid-peak
2/17;18;0.26;On-peak
2/17;19;0.28;On-peak
2/17;20;0.27;Off-peak
2/17;21;0.26;Off-peak
2/17;22;0.28;Off-peak
2/17;23;0.28;Off-peak
2/18;0;0.27;Off-peak
2/18;1;0.27;Off-peak
2/18;2;0.27;Off-peak
2/18;3;0.28;Off-peak
2/18;4;0.29;Off-peak
2/18;5;0.29;Off-peak
2/18;6;0.29;Off-peak
2/18;7;0.26;Off-peak
2/18;8;0.27;Off-peak
2/18;9;0.28;Off-peak
2/18;10;0.28;Off-peak
2/18;11;0.26;Off-peak
2/18;12;0.28;Off-peak
2/18;13;0.27;Off-peak
2/18;14;0.27;Off-peak
2/18;15;0.27;Off-peak
2/18;16;0.29;Off-peak
2/18;17;0.27;Off-peak
2/18;18;0.27;Off-peak
2/18;19;0.27;Off-peak
2/18;20;0.28;Off-peak
2/18;21;0.37;Off-peak
2/18;22;0.27;Off-peak
2/18;23;0.28;Off-peak
2/19;0;0.26;Off-peak
2/19;1;0.25;Off-peak
2/19;2;0.29;Off-peak
2/19;3;0.28;Off-peak
2/19;4;0.28;Off-peak
2/19;5;0.3;Off-peak
2/19;6;0.28;Off-peak
2/19;7;0.27;Off-peak
2/19;8;0.3;Off-peak
2/19;9;0.28;Off-peak
2/19;10;0.27;Off-peak
2/19;11;0.29;Off-peak
2/19;12;0.28;Off-peak
2/19;13;0.28;Off-peak
2/19;14;0.27;Off-peak
2/19;15;0.29;Off-peak
2/19;16;0.27;Off-peak
2/19;17;0.27;Off-peak
2/19;18;0.28;Off-peak
2/19;19;0.27;Off-peak
2/19;20;0.28;Off-peak
2/19;21;0.27;Off-peak
2/19;22;0.28;Off-peak
2/19;23;0.28;Off-peak
2/20;0;0.27;Off-peak
2/20;1;0.28;Off-peak
2/20;2;0.29;Off-peak
2/20;3;0.27;Off-peak
2/20;4;0.3;Off-peak
2/20;5;0.31;Off-peak
2/20;6;0.27;Off-peak
2/20;7;0.3;Off-peak
2/20;8;0.28;Off-peak
2/20;9;0.28;Off-peak
2/20;10;0.28;Off-peak
2/20;11;0.29;Off-peak
2/20;12;0.28;Off-peak
2/20;13;0.27;Off-peak
2/20;14;0.34;Off-peak
2/20;15;0.31;Off-peak
2/20;16;0.25;Off-peak
2/20;17;0.27;Off-peak
2/20;18;0.28;Off-peak
2/20;19;0.26;Off-peak
2/20;20;0.27;Off-peak
2/20;21;0.27;Off-peak
2/20;22;0.29;Off-peak
2/20;23;0.26;Off-peak
2/21;0;3.4;Off-peak
2/21;1;0.28;Off-peak
2/21;2;0.26;Off-peak
2/21;3;0.28;Off-peak
2/21;4;0.3;Off-peak
2/21;5;0.28;Off-peak
2/21;6;0.28;Off-peak
2/21;7;0.29;Off-peak
2/21;8;0.27;On-peak
2/21;9;0.28;On-peak
2/21;10;0.29;On-peak
2/21;11;0.28;On-peak
2/21;12;0.28;Mid-peak
2/21;13;0.28;Mid-peak
2/21;14;0.28;Mid-peak
2/21;15;0.27;Mid-peak
2/21;16;0.31;Mid-peak
2/21;17;0.4;Mid-peak
2/21;18;0.48;On-peak
2/21;19;0.54;On-peak
2/21;20;0.45;Off-peak
2/21;21;0.45;Off-peak
2/21;22;0.48;Off-peak
2/21;23;1.03;Off-peak
2/22;0;0.37;Off-peak
2/22;1;0.42;Off-peak
2/22;2;0.31;Off-peak
2/22;3;0.28;Off-peak
2/22;4;0.32;Off-peak
2/22;5;0.3;Off-peak
2/22;6;0.37;Off-peak
2/22;7;0.35;Off-peak
2/22;8;0.34;On-peak
2/22;9;0.41;On-peak
2/22;10;0.42;On-peak
2/22;11;0.3;On-peak
2/22;12;0.3;Mid-peak
2/22;13;0.28;Mid-peak
2/22;14;0.26;Mid-peak
2/22;15;0.27;Mid-peak
2/22;16;0.28;Mid-peak
2/22;17;0.27;Mid-peak
2/22;18;0.27;On-peak
2/22;19;0.28;On-peak
2/22;20;0.49;Off-peak
2/22;21;0.48;Off-peak
2/22;22;0.43;Off-peak
2/22;23;0.45;Off-peak
2/23;0;0.45;Off-peak
2/23;1;0.31;Off-peak
2/23;2;0.29;Off-peak
2/23;3;0.31;Off-peak
2/23;4;0.3;Off-peak
2/23;5;0.33;Off-peak
2/23;6;0.3;Off-peak
2/23;7;0.31;Off-peak
2/23;8;0.29;On-peak
2/23;9;0.35;On-peak
2/23;10;0.33;On-peak
2/23;11;0.29;On-peak
2/23;12;0.26;Mid-peak
2/23;13;0.27;Mid-peak
2/23;14;0.26;Mid-peak
2/23;15;0.27;Mid-peak
2/23;16;0.27;Mid-peak
2/23;17;0.26;Mid-peak
2/23;18;0.28;On-peak
2/23;19;0.27;On-peak
2/23;20;0.39;Off-peak
2/23;21;0.44;Off-peak
2/23;22;0.42;Off-peak
2/23;23;0.45;Off-peak
2/24;0;0.37;Off-peak
2/24;1;0.29;Off-peak
2/24;2;0.31;Off-peak
2/24;3;0.28;Off-peak
2/24;4;0.32;Off-peak
2/24;5;0.3;Off-peak
2/24;6;0.3;Off-peak
2/24;7;0.3;Off-peak
2/24;8;0.35;On-peak
2/24;9;0.47;On-peak
2/24;10;0.4;On-peak
2/24;11;0.43;On-peak
2/24;12;0.67;Mid-peak
2/24;13;1.77;Mid-peak
2/24;14;1.39;Mid-peak
2/24;15;0.39;Mid-peak
2/24;16;0.39;Mid-peak
2/24;17;0.38;Mid-peak
2/24;18;0.33;On-peak
2/24;19;0.32;On-peak
2/24;20;1.43;Off-peak
2/24;21;0.39;Off-peak
2/24;22;0.43;Off-peak
2/24;23;0.43;Off-peak
2/25;0;0.39;Off-peak
2/25;1;0.31;Off-peak
2/25;2;0.3;Off-peak
2/25;3;0.3;Off-peak
2/25;4;0.33;Off-peak
2/25;5;0.31;Off-peak
2/25;6;0.31;Off-peak
2/25;7;0.29;Off-peak
2/25;8;0.27;Off-peak
2/25;9;0.38;Off-peak
2/25;10;0.43;Off-peak
2/25;11;0.31;Off-peak
2/25;12;0.3;Off-peak
2/25;13;0.3;Off-peak
2/25;14;0.29;Off-peak
2/25;15;0.29;Off-peak
2/25;16;0.3;Off-peak
2/25;17;0.38;Off-peak
2/25;18;0.46;Off-peak
2/25;19;0.48;Off-peak
2/25;20;0.42;Off-peak
2/25;21;0.4;Off-peak
2/25;22;0.44;Off-peak
2/25;23;0.47;Off-peak
2/26;0;2.59;Off-peak
2/26;1;0.36;Off-peak
2/26;2;0.35;Off-peak
2/26;3;0.33;Off-peak
2/26;4;0.35;Off-peak
2/26;5;0.34;Off-peak
2/26;6;0.29;Off-peak
2/26;7;0.27;Off-peak
2/26;8;0.28;Off-peak
2/26;9;0.28;Off-peak
2/26;10;0.37;Off-peak
2/26;11;0.66;Off-peak
2/26;12;0.48;Off-peak
2/26;13;0.46;Off-peak
2/26;14;0.42;Off-peak
2/26;15;4.21;Off-peak
2/26;16;2.87;Off-peak
2/26;17;0.32;Off-peak
2/26;18;0.31;Off-peak
2/26;19;0.5;Off-peak
2/26;20;0.32;Off-peak
2/26;21;0.31;Off-peak
2/26;22;0.31;Off-peak
2/26;23;1.66;Off-peak
2/27;0;0.28;Off-peak
2/27;1;0.31;Off-peak
2/27;2;0.29;Off-peak
2/27;3;0.28;Off-peak
2/27;4;0.3;Off-peak
2/27;5;0.31;Off-peak
2/27;6;0.28;Off-peak
2/27;7;0.3;Off-peak
2/27;8;0.45;On-peak
2/27;9;0.61;On-peak
2/27;10;0.57;On-peak
2/27;11;0.6;On-peak
2/27;12;1.65;Mid-peak
2/27;13;0.46;Mid-peak
2/27;14;0.46;Mid-peak
2/27;15;0.4;Mid-peak
2/27;16;0.36;Mid-peak
2/27;17;0.3;Mid-peak
2/27;18;0.35;On-peak
2/27;19;0.58;On-peak
2/27;20;0.5;Off-peak
2/27;21;0.43;Off-peak
2/27;22;0.42;Off-peak
2/27;23;0.31;Off-peak
2/28;0;0.32;Off-peak
2/28;1;0.29;Off-peak
2/28;2;0.28;Off-peak
2/28;3;0.29;Off-peak
2/28;4;0.29;Off-peak
2/28;5;0.3;Off-peak
2/28;6;0.39;Off-peak
2/28;7;0.43;Off-peak
2/28;8;0.53;On-peak
2/28;9;0.31;On-peak
2/28;10;0.37;On-peak
2/28;11;0.44;On-peak
2/28;12;0.43;Mid-peak
2/28;13;0.42;Mid-peak
2/28;14;0.39;Mid-peak
2/28;15;0.44;Mid-peak
2/28;16;0.39;Mid-peak
2/28;17;0.4;Mid-peak
2/28;18;0.48;On-peak
2/28;19;0.45;On-peak
2/28;20;0.51;Off-peak
2/28;21;0.45;Off-peak
2/28;22;0.55;Off-peak
2/28;23;0.44;Off-peak
2/29;0;0.34;Off-peak
2/29;1;0.29;Off-peak
2/29;2;0.29;Off-peak
2/29;3;0.28;Off-peak
2/29;4;0.31;Off-peak
2/29;5;0.31;Off-peak
2/29;6;0.31;Off-peak
2/29;7;0.37;Off-peak
2/29;8;0.43;On-peak
2/29;9;0.4;On-peak
2/29;10;0.4;On-peak
2/29;11;0.48;On-peak
2/29;12;1.69;Mid-peak
2/29;13;2.73;Mid-peak
2/29;14;0.35;Mid-peak
2/29;15;0.3;Mid-peak
2/29;16;0.41;Mid-peak
2/29;17;0.37;Mid-peak
2/29;18;0.34;On-peak
2/29;19;1.23;On-peak
2/29;20;0.45;Off-peak
2/29;21;0.54;Off-peak
2/29;22;0.67;Off-peak
2/29;23;0.53;Off-peak
3/1;0;0.39;Off-peak
3/1;1;0.28;Off-peak
3/1;2;0.3;Off-peak
3/1;3;0.29;Off-peak
3/1;4;0.31;Off-peak
3/1;5;0.31;Off-peak
3/1;6;0.28;Off-peak
3/1;7;0.3;Off-peak
3/1;8;0.43;On-peak
3/1;9;0.32;On-peak
3/1;10;0.32;On-peak
3/1;11;0.3;On-peak
3/1;12;0.56;Mid-peak
3/1;13;0.36;Mid-peak
3/1;14;0.39;Mid-peak
3/1;15;0.6;Mid-peak
3/1;16;0.42;Mid-peak
3/1;17;0.46;Mid-peak
3/1;18;0.38;On-peak
3/1;19;0.4;On-peak
3/1;20;0.56;Off-peak
3/1;21;0.46;Off-peak
3/1;22;0.43;Off-peak
3/1;23;0.57;Off-peak
3/2;0;0.39;Off-peak
3/2;1;0.32;Off-peak
3/2;2;0.31;Off-peak
3/2;3;0.38;Off-peak
3/2;4;0.36;Off-peak
3/2;5;0.34;Off-peak
3/2;6;0.33;Off-peak
3/2;7;0.32;Off-peak
3/2;8;0.4;On-peak
3/2;9;0.49;On-peak
3/2;10;0.34;On-peak
3/2;11;1.26;On-peak
3/2;12;0.82;Mid-peak
3/2;13;0.52;Mid-peak
3/2;14;0.4;Mid-peak
3/2;15;0.46;Mid-peak
3/2;16;0.51;Mid-peak
3/2;17;0.41;Mid-peak
3/2;18;0.47;On-peak
3/2;19;0.48;On-peak
3/2;20;0.46;Off-peak
3/2;21;0.59;Off-peak
3/2;22;0.44;Off-peak
3/2;23;0.42;Off-peak
3/3;0;0.44;Off-peak
3/3;1;0.31;Off-peak
3/3;2;0.28;Off-peak
3/3;3;0.3;Off-peak
3/3;4;0.3;Off-peak
3/3;5;0.31;Off-peak
3/3;6;0.31;Off-peak
3/3;7;0.29;Off-peak
3/3;8;0.3;Off-peak
3/3;9;0.36;Off-peak
3/3;10;0.44;Off-peak
3/3;11;0.37;Off-peak
3/3;12;0.45;Off-peak
3/3;13;0.4;Off-peak
3/3;14;0.35;Off-peak
3/3;15;0.44;Off-peak
3/3;16;0.37;Off-peak
3/3;17;0.39;Off-peak
3/3;18;0.43;Off-peak
3/3;19;0.42;Off-peak
3/3;20;0.41;Off-peak
3/3;21;0.43;Off-peak
3/3;22;0.36;Off-peak
3/3;23;0.41;Off-peak
3/4;0;0.45;Off-peak
3/4;1;0.4;Off-peak
3/4;2;0.31;Off-peak
3/4;3;0.26;Off-peak
3/4;4;0.32;Off-peak
3/4;5;0.31;Off-peak
3/4;6;0.29;Off-peak
3/4;7;0.31;Off-peak
3/4;8;0.3;Off-peak
3/4;9;0.33;Off-peak
3/4;10;0.31;Off-peak
3/4;11;0.44;Off-peak
3/4;12;0.61;Off-peak
3/4;13;5.45;Off-peak
3/4;14;1.15;Off-peak
3/4;15;0.43;Off-peak
3/4;16;0.34;Off-peak
3/4;17;0.32;Off-peak
3/4;18;0.34;Off-peak
3/4;19;1.6;Off-peak
3/4;20;0.83;Off-peak
3/4;21;1.66;Off-peak
3/4;22;3.53;Off-peak
3/4;23;0.62;Off-peak
3/5;0;0.43;Off-peak
3/5;1;0.34;Off-peak
3/5;2;0.28;Off-peak
3/5;3;0.28;Off-peak
3/5;4;0.29;Off-peak
3/5;5;0.42;Off-peak
3/5;6;0.32;Off-peak
3/5;7;0.3;Off-peak
3/5;8;0.4;On-peak
3/5;9;0.32;On-peak
3/5;10;0.33;On-peak
3/5;11;0.32;On-peak
3/5;12;0.61;Mid-peak
3/5;13;0.33;Mid-peak
3/5;14;0.28;Mid-peak
3/5;15;0.27;Mid-peak
3/5;16;0.31;Mid-peak
3/5;17;0.33;Mid-peak
3/5;18;0.27;On-peak
3/5;19;0.28;On-peak
3/5;20;0.28;Off-peak
3/5;21;0.3;Off-peak
3/5;22;0.35;Off-peak
3/5;23;0.4;Off-peak
3/6;0;0.42;Off-peak
3/6;1;0.27;Off-peak
3/6;2;0.27;Off-peak
3/6;3;0.28;Off-peak
3/6;4;0.28;Off-peak
3/6;5;0.31;Off-peak
3/6;6;0.28;Off-peak
3/6;7;0.38;Off-peak
3/6;8;0.45;On-peak
3/6;9;0.39;On-peak
3/6;10;0.43;On-peak
3/6;11;0.28;On-peak
3/6;12;0.27;Mid-peak
3/6;13;0.27;Mid-peak
3/6;14;0.27;Mid-peak
3/6;15;0.26;Mid-peak
3/6;16;0.28;Mid-peak
3/6;17;0.26;Mid-peak
3/6;18;0.26;On-peak
3/6;19;0.32;On-peak
3/6;20;0.3;Off-peak
3/6;21;0.35;Off-peak
3/6;22;0.43;Off-peak
3/6;23;0.42;Off-peak
3/7;0;0.3;Off-peak
3/7;1;0.37;Off-peak
3/7;2;0.28;Off-peak
3/7;3;0.29;Off-peak
3/7;4;0.31;Off-peak
3/7;5;0.31;Off-peak
3/7;6;0.28;Off-peak
3/7;7;0.29;Off-peak
3/7;8;0.29;On-peak
3/7;9;0.33;On-peak
3/7;10;0.41;On-peak
3/7;11;0.39;On-peak
3/7;12;1.71;Mid-peak
3/7;13;0.46;Mid-peak
3/7;14;0.31;Mid-peak
3/7;15;0.3;Mid-peak
3/7;16;0.34;Mid-peak
3/7;17;0.35;Mid-peak
3/7;18;0.28;On-peak
3/7;19;0.27;On-peak
3/7;20;0.28;Off-peak
3/7;21;0.27;Off-peak
3/7;22;0.28;Off-peak
3/7;23;0.28;Off-peak
3/8;0;0.42;Off-peak
3/8;1;0.38;Off-peak
3/8;2;0.32;Off-peak
3/8;3;0.29;Off-peak
3/8;4;0.3;Off-peak
3/8;5;0.29;Off-peak
3/8;6;0.28;Off-peak
3/8;7;0.29;Off-peak
3/8;8;0.3;On-peak
3/8;9;0.46;On-peak
3/8;10;0.35;On-peak
3/8;11;0.29;On-peak
3/8;12;0.29;Mid-peak
3/8;13;0.27;Mid-peak
3/8;14;0.7;Mid-peak
3/8;15;0.33;Mid-peak
3/8;16;0.4;Mid-peak
3/8;17;0.43;Mid-peak
3/8;18;0.39;On-peak
3/8;19;0.35;On-peak
3/8;20;0.34;Off-peak
3/8;21;0.32;Off-peak
3/8;22;0.35;Off-peak
3/8;23;0.4;Off-peak
3/9;0;0.38;Off-peak
3/9;1;0.28;Off-peak
3/9;2;0.27;Off-peak
3/9;3;0.26;Off-peak
3/9;4;0.28;Off-peak
3/9;5;0.28;Off-peak
3/9;6;0.28;Off-peak
3/9;7;0.27;Off-peak
3/9;8;0.39;On-peak
3/9;9;0.34;On-peak
3/9;10;0.35;On-peak
3/9;11;0.35;On-peak
3/9;12;0.52;Mid-peak
3/9;13;0.37;Mid-peak
3/9;14;0.35;Mid-peak
3/9;15;0.36;Mid-peak
3/9;16;0.32;Mid-peak
3/9;17;0.27;Mid-peak
3/9;18;0.3;On-peak
3/9;19;0.29;On-peak
3/9;20;0.39;Off-peak
3/9;21;0.31;Off-peak
3/9;22;0.38;Off-peak
3/9;23;0.41;Off-peak
3/10;0;0.34;Off-peak
3/10;1;0.31;Off-peak
3/10;2;0.29;Off-peak
3/10;3;0.31;Off-peak
3/10;4;0.3;Off-peak
3/10;5;0.35;Off-peak
3/10;6;0.29;Off-peak
3/10;7;0.31;Off-peak
3/10;8;0.49;Off-peak
3/10;9;0.4;Off-peak
3/10;10;0.32;Off-peak
3/10;11;0.35;Off-peak
3/10;12;0.36;Off-peak
3/10;13;0.31;Off-peak
3/10;14;0.34;Off-peak
3/10;15;0.49;Off-peak
3/10;16;0.35;Off-peak
3/10;17;2.77;Off-peak
3/10;18;4.41;Off-peak
3/10;19;0.44;Off-peak
3/10;20;0.34;Off-peak
3/10;21;0.33;Off-peak
3/10;22;0.34;Off-peak
3/10;23;0.33;Off-peak
3/11;0;0.47;Off-peak
3/11;1;0.34;Off-peak
3/11;3;0.32;Off-peak
3/11;4;0.3;Off-peak
3/11;5;0.28;Off-peak
3/11;6;0.29;Off-peak
3/11;7;0.28;Off-peak
3/11;8;0.26;Off-peak
3/11;9;0.28;Off-peak
3/11;10;0.63;Off-peak
3/11;11;0.49;Off-peak
3/11;12;0.64;Off-peak
3/11;13;3.72;Off-peak
3/11;14;1.87;Off-peak
3/11;15;0.43;Off-peak
3/11;16;0.41;Off-peak
3/11;17;0.44;Off-peak
3/11;18;0.35;Off-peak
3/11;19;0.32;Off-peak
3/11;20;0.31;Off-peak
3/11;21;0.43;Off-peak
3/11;22;0.43;Off-peak
3/11;23;0.42;Off-peak
3/12;0;0.45;Off-peak
3/12;1;0.52;Off-peak
3/12;2;0.3;Off-peak
3/12;3;0.3;Off-peak
3/12;4;0.29;Off-peak
3/12;5;0.29;Off-peak
3/12;6;0.3;Off-peak
3/12;7;0.29;Off-peak
3/12;8;0.55;On-peak
3/12;9;0.4;On-peak
3/12;10;0.4;On-peak
3/12;11;0.62;On-peak
3/12;12;1.41;Mid-peak
3/12;13;1.93;Mid-peak
3/12;14;0.43;Mid-peak
3/12;15;0.38;Mid-peak
3/12;16;0.3;Mid-peak
3/12;17;0.31;Mid-peak
3/12;18;0.28;On-peak
3/12;19;0.36;On-peak
3/12;20;0.37;Off-peak
3/12;21;0.54;Off-peak
3/12;22;0.54;Off-peak
3/12;23;0.42;Off-peak
3/13;0;0.36;Off-peak
3/13;1;0.34;Off-peak
3/13;2;0.25;Off-peak
3/13;3;0.26;Off-peak
3/13;4;0.27;Off-peak
3/13;5;0.25;Off-peak
3/13;6;0.3;Off-peak
3/13;7;0.27;Off-peak
3/13;8;0.41;On-peak
3/13;9;0.27;On-peak
3/13;10;0.33;On-peak
3/13;11;0.35;On-peak
3/13;12;0.35;Mid-peak
3/13;13;0.38;Mid-peak
3/13;14;0.27;Mid-peak
3/13;15;0.26;Mid-peak
3/13;16;0.25;Mid-peak
3/13;17;0.26;Mid-peak
3/13;18;0.26;On-peak
3/13;19;0.32;On-peak
3/13;20;0.34;Off-peak
3/13;21;0.48;Off-peak
3/13;22;0.42;Off-peak
3/13;23;0.39;Off-peak
3/14;0;0.37;Off-peak
3/14;1;0.26;Off-peak
3/14;2;0.25;Off-peak
3/14;3;0.27;Off-peak
3/14;4;0.25;Off-peak
3/14;5;0.29;Off-peak
3/14;6;0.27;Off-peak
3/14;7;0.28;Off-peak
3/14;8;0.45;On-peak
3/14;9;0.34;On-peak
3/14;10;0.44;On-peak
3/14;11;0.38;On-peak
3/14;12;0.3;Mid-peak
3/14;13;0.28;Mid-peak
3/14;14;0.33;Mid-peak
3/14;15;0.33;Mid-peak
3/14;16;0.35;Mid-peak
3/14;17;0.34;Mid-peak
3/14;18;0.39;On-peak
3/14;19;0.41;On-peak
3/14;20;0.46;Off-peak
3/14;21;0.47;Off-peak
3/14;22;0.47;Off-peak
3/14;23;0.43;Off-peak
3/15;0;0.52;Off-peak
3/15;1;0.47;Off-peak
3/15;2;0.26;Off-peak
3/15;3;0.25;Off-peak
3/15;4;0.27;Off-peak
3/15;5;0.28;Off-peak
3/15;6;0.28;Off-peak
3/15;7;0.26;Off-peak
3/15;8;0.41;On-peak
3/15;9;0.34;On-peak
3/15;10;0.38;On-peak
3/15;11;0.35;On-peak
3/15;12;0.35;Mid-peak
3/15;13;0.35;Mid-peak
3/15;14;0.35;Mid-peak
3/15;15;0.34;Mid-peak
3/15;16;0.42;Mid-peak
3/15;17;0.38;Mid-peak
3/15;18;0.34;On-peak
3/15;19;0.36;On-peak
3/15;20;0.38;Off-peak
3/15;21;0.41;Off-peak
3/15;22;0.42;Off-peak
3/15;23;0.46;Off-peak
3/16;0;0.33;Off-peak
3/16;1;0.32;Off-peak
3/16;2;0.32;Off-peak
3/16;3;0.3;Off-peak
3/16;4;0.31;Off-peak
3/16;5;0.32;Off-peak
3/16;6;0.32;Off-peak
3/16;7;0.41;Off-peak
3/16;8;0.34;On-peak
3/16;9;0.36;On-peak
3/16;10;0.47;On-peak
3/16;11;0.44;On-peak
3/16;12;3.08;Mid-peak
3/16;13;0.75;Mid-peak
3/16;14;0.3;Mid-peak
3/16;15;0.31;Mid-peak
3/16;16;0.29;Mid-peak
3/16;17;0.31;Mid-peak
3/16;18;0.31;On-peak
3/16;19;0.3;On-peak
3/16;20;0.33;Off-peak
3/16;21;0.3;Off-peak
3/16;22;0.3;Off-peak
3/16;23;0.43;Off-peak
;;;
